timbr_id	timbr_value
RCR30002_f	139953.347921297
RCR30004_f	126344.720722778
RCR30005_f	116769.043790167
RCR30006_f	113251.449029972
RCR30008_f	113329.332584396
RCR30009_f	125701.29958534
RCR30010_f	112834.187989029
RCR30012_f	149262.392384732
RCR30013_f	116587.85790375
RCR30014_f	115832.58994975
RCR30015_f	112762.698856125
RCR30016_f	112390.712792729
RCR30021_f	135914.550030139
RCR30022_f	113708.529356537
RCR30024_f	140008.164883101
RCR30025_f	116008.046242854
RCR30027_f	118490.721662312
RCR30031_f	112422.650298502
RCR30032_f	117168.411400917
RCR30033_f	117315.268790167
RCR30036_f	151726.457390985
RCR30037_f	115216.707781904
RCR30039_f	185813.432586862
RCR30041_f	131915.216159332
RCR30042_f	117357.853229865
RCR30045_f	123671.423663909
RCR30046_f	122260.916164785
RCR30047_f	113246.072091678
RCR30048_f	123139.544279458
RCR30049_f	145395.69543101
RCR30050_f	146536.580609312
RCR30051_f	112424.570614604
RCR30052_f	131804.320409907
RCR30053_f	114170.35865715
RCR30054_f	136910.116746167
RCR30059_f	146090.265518168
RCR30060_f	134360.024610984
RCR30062_f	124083.302150184
RCR30063_f	118574.357127167
RCR30065_f	148596.185428346
RCR30066_f	149410.033626363
RCR30067_f	126416.921116854
RCR30068_f	124001.199323581
RCR30070_f	126322.427345417
RCR30072_f	122200.579890231
RCR30073_f	163305.192584312
RCR30074_f	146757.311823117
RCR30075_f	149161.76810746
RCR30076_f	146289.202387271
RCR30077_f	129962.993288203
RCR30078_f	122472.24661111
RCR30079_f	161638.306197423
RCR30080_f	121145.535983083
RCR30081_f	136073.89621942
RCR30082_f	112442.909277104
RCR30084_f	137945.640495366
RCR30085_f	127549.09958534
RCR30086_f	129660.442890594
RCR30087_f	115572.770737854
RCR30089_f	115452.880505904
RCR30091_f	132403.544497205
RCR30093_f	130077.353114113
RCR30095_f	112599.18176326
RCR30096_f	112390.712792729
RCR30097_f	129032.760164479
RCR30099_f	116488.222623979
RCR30100_f	130965.16070765
RCR30101_f	117180.524550042
RCR30102_f	114630.276949333
RCR30103_f	147266.063961619
RCR30105_f	112672.171542723
RCR30106_f	159711.736003759
RCR30109_f	115288.017074904
RCR30111_f	127894.90923444
RCR30115_f	112390.712792729
RCR30116_f	119870.73795925
RCR30117_f	114272.842714458
RCR30118_f	139427.5550419
RCR30120_f	132239.693732878
RCR30122_f	129893.09859399
RCR30124_f	115784.839710271
RCR30125_f	143856.377220486
RCR30126_f	146942.223374833
RCR30127_f	147058.961088355
RCR30130_f	121498.996127707
RCR30131_f	133162.860101887
RCR30132_f	120791.387824323
RCR30134_f	137861.686771087
RCR30135_f	167104.411049296
RCR30142_f	140120.363989178
RCR30145_f	114910.448043604
RCR30146_f	112483.176020854
RCR30147_f	139050.435629105
RCR30148_f	126104.865024823
RCR30154_f	163504.74827955
RCR30157_f	136838.154601505
RCR30158_f	145284.377220487
RCR30159_f	138186.960395256
RCR30160_f	129912.964128863
RCR30161_f	114601.813009059
RCR30163_f	115173.991598529
RCR30168_f	112432.151802104
RCR30182_f	148479.022157633
RCR30188_f	112598.068037665
RCR30189_f	112976.352678723
RCR30190_f	113091.840480223
RCR30191_f	116898.327835458
RCR30192_f	148713.77937256
RCR30193_f	136222.044192091
RCR30194_f	137131.251336772
RCR30195_f	136339.511549234
RCR30196_f	137838.424633201
RCR30197_f	138583.29445873
RCR30198_f	140600.737403006
RCR30203_f	115805.704398054
RCR30204_f	163305.43973859
RCR30205_f	129822.527008156
RCR30208_f	112390.712792729
RCR30210_f	147348.885213256
RCR30211_f	128216.082218944
RCR30212_f	142679.57213075
RCR30213_f	163209.162857848
RCR30215_f	135805.250030139
RCR30216_f	119270.549394375
RCR30217_f	115741.434081179
RCR30218_f	137448.929422833
RCR30219_f	113352.431540973
RCR30221_f	144328.741089593
RCR30223_f	238876.431555966
RCR30224_f	147507.789958122
RCR30225_f	119372.697635771
RCR30226_f	146337.986123714
RCR30228_f	140706.835363471
RCR30229_f	147548.015289424
RCR30230_f	146506.539308501
RCR30232_f	115174.344617904
RCR30233_f	116442.921304035
RCR30235_f	162728.489081193
RCR30237_f	119259.919137156
RCR30238_f	130337.524634216
RCR30241_f	115681.347180125
RCR30242_f	114968.595392729
RCR30243_f	137904.211444086
RCR30245_f	116762.437852344
RCR30306_f	151990.570903663
RCR30309_f	113452.220140021
RCR30310_f	137024.962965937
RCR30311_f	152341.594628447
RCR30312_f	156666.072753691
RCR30313_f	147418.683829134
RCR30315_f	107156.339876155
RCR30321_f	115706.112490146
RCR30322_f	113415.606513418
RCR30325_f	112390.712792729
RCR30327_f	155426.206701248
RCR30328_f	121020.141180885
RCR30329_f	112856.059092723
RCR30330_f	113583.096145229
RCR30333_f	112680.108417587
RCR30335_f	137949.546525561
RCR30336_f	135818.317869859
RCR30337_f	135851.433297939
RCR30338_f	136244.361517649
RCR30339_f	136303.996485266
RCR30340_f	131300.878964913
RCR30341_f	131514.178964914
RCR30342_f	136309.691780423
RCR30343_f	136213.105115188
RCR30344_f	137901.906272845
RCR30345_f	140384.10954793
RCR30346_f	118686.700727167
RCR30347_f	126701.613177323
RCR30348_f	115373.062010026
RCR30353_f	120849.386573413
RCR30359_f	112531.216120854
RCR30361_f	175842.622002146
RCR30364_f	175033.833360092
RCR30365_f	120652.906745503
RCR30366_f	113116.789709504
RCR30367_f	147776.606267904
RCR30368_f	112887.950275885
RCR30369_f	124310.308107253
RCR30371_f	113109.627918723
RCR30374_f	112431.884867729
RCR30375_f	123162.040379458
RCR30376_f	142008.372643542
RCR30377_f	124056.390379458
RCR30380_f	128338.226692323
RCR30383_f	117874.063445954
RCR30385_f	139527.420893633
RCR30387_f	147292.212830062
RCR30388_f	146326.268575762
RCR30389_f	147289.662572818
RCR30390_f	145358.231071893
RCR30392_f	131074.34913081
RCR30393_f	123139.544279458
RCR30394_f	142026.492294958
RCR30398_f	124936.429418674
RCR30400_f	145523.106597284
RCR30403_f	176837.6254676
RCR30404_f	113938.145451227
RCR30405_f	132519.091146092
RCR30406_f	135079.196833203
RCR30407_f	149161.768107443
RCR30410_f	130383.642890594
RCR30413_f	130676.684824198
RCR30418_f	129264.156900656
RCR30424_f	147363.750373009
RCR30425_f	147387.432673882
RCR30426_f	146805.113910645
RCR30429_f	147036.415295876
RCR30431_f	147550.014135722
RCR30432_f	146503.244178342
RCR30434_f	130101.868347583
RCR30436_f	125546.638177323
RCR30437_f	116224.259883054
RCR30439_f	113006.312502399
RCR30440_f	119431.679852104
RCR30442_f	148285.678523198
RCR30443_f	147747.164454222
RCR30445_f	112519.439738917
RCR30446_f	112747.47203731
RCR30449_f	121162.14785475
RCR30451_f	113910.102197729
RCR30452_f	112411.965055229
RCR30455_f	123581.414677479
RCR30456_f	142292.169836625
RCR30457_f	135313.138981065
RCR30458_f	113755.750506
RCR30459_f	136648.537751574
RCR30461_f	174495.087321156
RCR30462_f	165004.771028178
RCR30463_f	163519.816387189
RCR30464_f	163504.802430752
RCR30465_f	125644.240985812
RCR30473_f	137196.274835626
RCR30474_f	144673.440500694
RCR30476_f	117124.1989985
RCR30477_f	114990.913521958
RCR30478_f	137786.896444087
RCR30479_f	137381.590723743
RCR30480_f	135677.897760313
RCR30481_f	117371.917849637
RCR30482_f	113371.868361223
RCR30484_f	137404.550129422
RCR30485_f	138043.317586451
RCR30486_f	140932.327811927
RCR30487_f	145859.421983847
RCR30488_f	145779.849635846
RCR30489_f	137545.746200072
RCR30490_f	133260.858114809
RCR30491_f	113180.270785379
RCR30492_f	142339.528799257
RCR30493_f	142339.528799258
RCR30494_f	112442.988214604
RCR30495_f	127070.843385656
RCR30532_f	143298.69785158
RCR30535_f	128910.227824823
RCR30536_f	116090.652159604
RCR30538_f	128610.815024823
RCR30542_f	128757.338177323
RCR30543_f	129758.04958534
RCR30544_f	140158.510513592
RCR30546_f	120433.644272021
RCR30548_f	146356.355181262
RCR30550_f	116741.889163146
RCR30551_f	113503.968716973
RCR30554_f	112549.457095854
RCR30560_f	125426.38481649
RCR30561_f	145370.122273927
RCR90064_f	126077.895617917
RCR90068_f	126477.895617917
RCR90070_f	126003.338916854
RCR90071_f	134160.024610981
RCR90072_f	148135.513352497
RCR90075_f	134879.196833206
RCR90077_f	135337.924610984
RCR90080_f	135937.924610984
RCR90082_f	134160.024610984
RCR90084_f	149501.259180573
RCR90085_f	149361.055540729
RCR90086_f	143872.940172917
RCR90087_f	144829.64225625
RCR90089_f	143924.24225625
RCR90090_f	134160.024610984
RCR90091_f	151286.593911487
RCR90092_f	135737.924610984
RCR90093_f	136895.624835625
RCR90119_f	128523.064022115
RCR90123_f	164556.868834446
RCR90143_f	118587.98555125
RCR90146_f	113065.827016072
RCR90149_f	114033.276967917
RCR90153_f	134085.030911688
RCR90155_f	125858.843385656
RCR90157_f	136837.893600331
RCR90179_f	150459.726343919
RCR90186_f	115712.306470838
RCR90189_f	126539.214507354
RCR90192_f	138420.012899861
RCR90193_f	137785.680690556
RCR90196_f	148596.732015177
RCR90201_f	140326.669211054
RCR90202_f	160622.28899454
RCR90203_f	163453.805387389
RCR90204_f	115010.654498904
RCR90205_f	163022.422780918
RCR90206_f	161996.112160499
RCR90207_f	114109.153093715
RCR90208_f	114044.43735809
RCR90209_f	113715.992864625
RCR90210_f	163505.099408679
RCR90211_f	114885.400278279
RCR90213_f	113261.748489303
RCR90215_f	117483.928581833
RCR90217_f	112787.832752504
RCR90219_f	118905.442544208
RCR90223_f	115548.774261479
RCR90225_f	112804.473654948
RCR90227_f	128727.808766303
RCR90229_f	138666.710229105
RCR90231_f	119318.407665438
RCR90233_f	119037.831572859
RCR90235_f	123895.847458004
RCR90237_f	117549.315517004
RCR90239_f	117006.415527929
RCR90241_f	116260.097912708
RCR90242_f	128911.251417829
RCR90244_f	117529.726084817
RCR90246_f	112518.849758354
RCR90248_f	115329.87868862
RCR90250_f	124377.477666337
RCR90254_f	114395.8488123
RCR30563_f	121795.756617001
RCR30564_f	122193.978969829
RCR30565_f	115683.189688976
RCR30567_f	116619.588136976
