timbr_id	timbr_value
RCR30002_f	110736.895727939
RCR30004_f	98160.5413931666
RCR30005_f	91429.7995436667
RCR30006_f	88075.36832955
RCR30008_f	87910.2062792261
RCR30009_f	163158.777895851
RCR30010_f	87304.2409696294
RCR30012_f	127052.141678865
RCR30013_f	88119.8296318618
RCR30014_f	91839.8490885714
RCR30015_f	89996.0694927
RCR30016_f	87438.5570045
RCR30021_f	106351.408088111
RCR30022_f	88600.21015626
RCR30024_f	92956.7404825474
RCR30025_f	88380.3569704334
RCR30027_f	90798.39389774
RCR30031_f	86994.76172905
RCR30032_f	90153.3325403
RCR30033_f	91679.6304488333
RCR30036_f	145392.292690584
RCR30037_f	88234.3077337333
RCR30039_f	174910.64855555
RCR30041_f	115357.942142325
RCR30042_f	88982.780226065
RCR30045_f	97521.2731407335
RCR30046_f	96230.3144984001
RCR30047_f	87586.7912894583
RCR30048_f	172051.728257961
RCR30049_f	132630.63694107
RCR30050_f	135313.097081624
RCR30051_f	86886.8253853
RCR30052_f	170600.616125906
RCR30053_f	88374.1673927
RCR30054_f	105878.062151893
RCR30059_f	130483.659424385
RCR30060_f	173439.89879328
RCR30062_f	93910.332128175
RCR30063_f	91175.603995745
RCR30065_f	133063.262001089
RCR30066_f	133497.958837004
RCR30067_f	174175.772633798
RCR30068_f	91265.7900434168
RCR30070_f	101561.77231667
RCR30072_f	95287.4048218591
RCR30073_f	134701.028611594
RCR30074_f	125445.738120258
RCR30075_f	130882.231242275
RCR30076_f	134293.109642656
RCR30077_f	106218.999636948
RCR30078_f	88297.1214672501
RCR30079_f	162026.869039332
RCR30080_f	95782.923425775
RCR30081_f	100389.441259117
RCR30082_f	86915.8134853
RCR30084_f	109025.689908089
RCR30085_f	165839.079714346
RCR30086_f	98581.1643102125
RCR30087_f	88319.8196556343
RCR30089_f	88300.8015247333
RCR30091_f	108222.714569167
RCR30093_f	92621.0276974245
RCR30095_f	87080.5333852978
RCR30096_f	86855.0430103
RCR30097_f	105143.624350879
RCR30099_f	92896.3862325263
RCR30100_f	93280.9028680436
RCR30101_f	91477.7096425
RCR30102_f	88673.1050763601
RCR30103_f	166333.499465003
RCR30105_f	87315.75710655
RCR30106_f	165707.246474239
RCR30109_f	88255.9249597333
RCR30111_f	174888.515332595
RCR30115_f	86855.0430103001
RCR30116_f	89164.81149575
RCR30117_f	88349.4318581667
RCR30118_f	118818.198250991
RCR30120_f	98702.4860386334
RCR30122_f	93385.9204528308
RCR30124_f	90522.5552303633
RCR30125_f	116250.328867087
RCR30126_f	167240.863663841
RCR30127_f	135836.844794027
RCR30130_f	87545.12311475
RCR30131_f	98289.0877336246
RCR30132_f	97936.3422383077
RCR30134_f	114531.750415083
RCR30135_f	167178.268725871
RCR30142_f	120301.12413322
RCR30145_f	89416.57189703
RCR30146_f	86958.9530853001
RCR30147_f	114057.329935917
RCR30148_f	87318.001264313
RCR30154_f	167851.091690681
RCR30157_f	130382.069344248
RCR30158_f	117740.328867086
RCR30159_f	110183.930748451
RCR30160_f	97255.6078808778
RCR30161_f	88798.9683709848
RCR30163_f	88164.5205502333
RCR30168_f	86901.9539353001
RCR30182_f	98798.3981140477
RCR30188_f	86559.7389307
RCR30189_f	87554.03271405
RCR30190_f	88024.8253609417
RCR30191_f	93423.5348202084
RCR30192_f	130343.56244301
RCR30193_f	136386.129192732
RCR30194_f	140016.938078695
RCR30195_f	136655.932077304
RCR30196_f	143204.895984186
RCR30197_f	146666.277758995
RCR30198_f	129707.949398973
RCR30203_f	88388.8955187334
RCR30204_f	162473.772973395
RCR30205_f	93127.6635888001
RCR30208_f	86855.0430103
RCR30210_f	136381.396393439
RCR30211_f	104898.56793811
RCR30212_f	134491.641126467
RCR30213_f	162338.720925202
RCR30215_f	106990.956245988
RCR30216_f	95950.357332
RCR30217_f	90229.0449642001
RCR30218_f	107361.834841
RCR30219_f	88185.58556955
RCR30221_f	131869.364804445
RCR30223_f	235838.280919
RCR30224_f	136134.00356201
RCR30225_f	93368.2499644521
RCR30226_f	134096.444969599
RCR30228_f	120184.399722875
RCR30229_f	135177.641383042
RCR30230_f	133680.16377612
RCR30232_f	88170.5979397334
RCR30233_f	92053.2537492154
RCR30235_f	162985.37101586
RCR30237_f	94697.8772073772
RCR30238_f	97496.7031232847
RCR30241_f	89344.7573068334
RCR30242_f	89540.5380523
RCR30243_f	147595.362938676
RCR30245_f	93292.22828605
RCR30306_f	103063.103505889
RCR30309_f	88221.8714274685
RCR30310_f	118419.478858817
RCR30311_f	129207.038845864
RCR30312_f	131668.047956717
RCR30313_f	124078.878113014
RCR30315_f	86659.2157878471
RCR30321_f	90476.2707053339
RCR30322_f	88022.43721
RCR30325_f	86855.0430103
RCR30327_f	143189.628314139
RCR30328_f	94717.3005478182
RCR30329_f	87436.92689655
RCR30330_f	88285.8479848
RCR30333_f	87207.77465155
RCR30335_f	148712.555907544
RCR30336_f	137763.102445458
RCR30337_f	137863.44537259
RCR30338_f	138742.239458117
RCR30339_f	139264.970436647
RCR30340_f	120065.0521225
RCR30341_f	103445.203113087
RCR30342_f	140381.829628219
RCR30343_f	140089.162757419
RCR30344_f	147838.464501467
RCR30345_f	137052.013553042
RCR30346_f	93540.7525357451
RCR30347_f	91043.3063273
RCR30348_f	90147.3865327731
RCR30353_f	91702.3126451667
RCR30359_f	86939.1700603001
RCR30361_f	172805.257742326
RCR30364_f	172199.447524096
RCR30365_f	94791.3938660001
RCR30366_f	87735.8624684667
RCR30367_f	121569.105297625
RCR30368_f	87351.88811605
RCR30369_f	97818.8064781667
RCR30371_f	87705.7766393834
RCR30374_f	86901.6603103
RCR30375_f	169095.469535456
RCR30376_f	160044.627562467
RCR30377_f	169953.644318599
RCR30380_f	173271.418308947
RCR30383_f	90293.0825403
RCR30385_f	130897.357937357
RCR30387_f	136284.563319358
RCR30388_f	134075.309905349
RCR30389_f	136315.549903065
RCR30390_f	133204.689970151
RCR30392_f	167464.728205179
RCR30393_f	169101.616241892
RCR30394_f	159901.641282398
RCR30398_f	162300.682692785
RCR30400_f	118892.762747438
RCR30403_f	173747.279083905
RCR30404_f	88253.201817731
RCR30405_f	170268.776431096
RCR30406_f	173226.704008064
RCR30407_f	130882.231242275
RCR30410_f	99269.7143102126
RCR30413_f	94205.6898288
RCR30418_f	176375.994221522
RCR30424_f	135648.078735416
RCR30425_f	137589.586037004
RCR30426_f	135326.801276998
RCR30429_f	135508.517117057
RCR30431_f	135190.308940986
RCR30432_f	133674.280232297
RCR30434_f	177132.497023193
RCR30436_f	89205.0286873
RCR30437_f	88438.2283990334
RCR30439_f	87522.2302676667
RCR30440_f	90927.1824108333
RCR30442_f	136955.763634142
RCR30443_f	135699.407378932
RCR30445_f	86968.8394198
RCR30446_f	87256.8711824833
RCR30449_f	96571.11091134
RCR30451_f	88418.8988998001
RCR30452_f	86867.4807403
RCR30455_f	169552.034757582
RCR30456_f	160571.048968522
RCR30457_f	104866.088013666
RCR30458_f	90209.56649915
RCR30459_f	107841.408088111
RCR30461_f	172041.817132528
RCR30462_f	135032.620846492
RCR30463_f	145964.668230452
RCR30464_f	158849.048355421
RCR30465_f	171452.861884369
RCR30473_f	176342.424517197
RCR30474_f	171401.643840189
RCR30476_f	91090.8220988333
RCR30477_f	91322.80156895
