timbr_id	timbr_value
RCR30002_f	54066.0331422917
RCR30004_f	39297.1332465377
RCR30005_f	24398.3547502797
RCR30006_f	20750.0148208971
RCR30008_f	21782.2721364271
RCR30009_f	83367.701531362
RCR30010_f	19964.366444403
RCR30012_f	62025.0814897249
RCR30013_f	19433.3202140865
RCR30014_f	26526.4386979452
RCR30015_f	28882.3057753216
RCR30016_f	22813.1835066956
RCR30021_f	47104.1071520719
RCR30022_f	21774.7610279386
RCR30024_f	13728.682669
RCR30025_f	21648.3615455852
RCR30027_f	22511.6590340073
RCR30031_f	19584.4965077682
RCR30032_f	22873.1059868914
RCR30033_f	24047.9627075241
RCR30036_f	114402.317516811
RCR30037_f	21476.4716072885
RCR30039_f	120099.405725422
RCR30041_f	44408.2933904702
RCR30042_f	22939.3406381868
RCR30045_f	25545.9873559703
RCR30046_f	24594.2886588071
RCR30047_f	20230.6995530337
RCR30048_f	83322.7281663759
RCR30049_f	97750.6032236032
RCR30050_f	106650.099026012
RCR30051_f	19629.6806846154
RCR30052_f	91240.7790946871
RCR30053_f	20901.0045968647
RCR30054_f	49478.2958190364
RCR30059_f	64812.0141124868
RCR30060_f	99778.362770532
RCR30062_f	33051.331580771
RCR30063_f	24811.9066440457
RCR30065_f	149736.509840501
RCR30066_f	148714.613874138
RCR30067_f	89736.1349956067
RCR30068_f	26649.4475863462
RCR30070_f	43404.438878077
RCR30072_f	35225.3008383995
RCR30073_f	61290.0406607755
RCR30074_f	55810.783763453
RCR30075_f	125935.11286879
RCR30076_f	105334.908471522
RCR30077_f	48052.8223857813
RCR30078_f	23214.9288440925
RCR30079_f	72511.2132403356
RCR30080_f	30321.3662094581
RCR30081_f	36754.9441995605
RCR30082_f	19677.5996820965
RCR30084_f	52765.5984057555
RCR30085_f	88867.6571681969
RCR30086_f	39532.3011574476
RCR30087_f	21638.1919513913
RCR30089_f	21657.5593132307
RCR30091_f	56553.0153410899
RCR30093_f	23940.8996699598
RCR30095_f	19836.5220216647
RCR30096_f	21662.9371200297
RCR30097_f	47379.5190876769
RCR30099_f	27967.0805022997
RCR30100_f	27626.6254640987
RCR30101_f	24703.3628657243
RCR30102_f	21193.1282692308
RCR30103_f	112821.225237822
