timbr_id	timbr_value
RCR30002_f	49364.4188758797
RCR30004_f	37476.6908449572
RCR30005_f	24092.7852626303
RCR30006_f	20704.4735594926
RCR30008_f	21625.4677218115
RCR30009_f	88923.244489726
RCR30010_f	19957.2998786744
RCR30012_f	64071.7783249601
RCR30013_f	19282.5321815988
RCR30014_f	25105.3806109375
RCR30015_f	27418.4596318355
RCR30016_f	22357.6718875759
RCR30021_f	44099.0246074797
RCR30022_f	21772.1485054869
RCR30024_f	13766.1443115385
RCR30025_f	21694.6806793207
RCR30027_f	22518.0498625763
RCR30031_f	19583.9341106274
RCR30032_f	22693.8247096422
RCR30033_f	23719.8354912297
RCR30036_f	108615.694051489
RCR30037_f	21350.1967928799
RCR30039_f	108933.108135546
RCR30041_f	44724.6636088618
RCR30042_f	22274.7244581107
RCR30045_f	25119.9082933441
RCR30046_f	24189.6805639165
RCR30047_f	20237.6579093968
RCR30048_f	88899.0156027832
RCR30049_f	92150.4249949682
RCR30050_f	100221.521534765
RCR30051_f	19598.0223673077
RCR30052_f	95050.4023009853
RCR30053_f	20651.1796255625
RCR30054_f	44662.8596465385
RCR30059_f	61383.820582
RCR30060_f	102560.371279912
RCR30062_f	32027.2254689744
RCR30063_f	24219.9767147972
RCR30065_f	143486.725423197
RCR30066_f	144046.315604295
RCR30067_f	92762.4031176438
RCR30068_f	25960.2596331987
RCR30070_f	38951.1956465385
RCR30072_f	32712.9187390301
RCR30073_f	62806.7424230855
RCR30074_f	50527.9509047134
RCR30075_f	122724.286162203
RCR30076_f	99459.5422536085
RCR30077_f	43550.7167985998
RCR30078_f	23058.4114179473
RCR30079_f	73058.5867138768
RCR30080_f	29453.1310407868
RCR30081_f	35409.5272712358
RCR30082_f	19643.3372976422
RCR30084_f	47551.9018125802
RCR30085_f	94169.7076667771
RCR30086_f	36477.8426842468
RCR30087_f	21697.6721397905
RCR30089_f	21769.4042331973
RCR30091_f	52941.3172280321
RCR30093_f	23585.9483887068
RCR30095_f	19779.4752334584
RCR30096_f	21481.9122685385
RCR30097_f	42116.2084832052
RCR30099_f	27328.236796221
RCR30100_f	27208.2975748865
RCR30101_f	24296.0543841259
RCR30102_f	19985.0085673077
RCR30103_f	113853.672944991
RCR30105_f	19829.248523761
RCR30106_f	141434.639055109
RCR30109_f	21663.6896933094
RCR30111_f	102001.250039132
RCR30115_f	21134.4424936364
RCR30116_f	24056.9145577778
RCR30117_f	22395.1880348095
RCR30118_f	48143.4272201672
RCR30120_f	34668.9803579573
RCR30122_f	33075.5314040385
RCR30124_f	23053.6284480284
RCR30125_f	55073.8153578195
RCR30126_f	113810.568423981
RCR30127_f	96836.889354494
RCR30130_f	21889.0911016822
RCR30131_f	34813.0505657008
RCR30132_f	35048.882155648
RCR30134_f	54751.4129029787
RCR30135_f	125652.282124716
RCR30142_f	39634.3187415543
RCR30145_f	23240.6489627206
RCR30146_f	19707.1970679533
RCR30147_f	53243.4265458269
RCR30148_f	25488.3366480155
RCR30154_f	114219.7760706
RCR30157_f	89995.605255266
RCR30158_f	56501.8153578194
RCR30159_f	48834.5433951437
RCR30160_f	34586.5957520115
RCR30161_f	21049.2200341089
RCR30163_f	21375.9173463206
RCR30168_f	19620.1397390406
RCR30182_f	35967.5458552418
RCR30188_f	21790.9958207538
RCR30189_f	20301.25864235
RCR30190_f	20933.7308548087
RCR30191_f	28079.8598797843
RCR30192_f	120443.378737155
RCR30193_f	163434.883079629
RCR30194_f	169819.187306885
RCR30195_f	164126.304991169
RCR30196_f	174841.768965686
RCR30197_f	179869.461210708
RCR30198_f	69857.2214174723
RCR30203_f	21697.2035710474
RCR30204_f	110146.218856205
RCR30205_f	29311.3606637047
RCR30208_f	19593.9046423077
RCR30210_f	96972.8636792449
RCR30211_f	41923.9262295486
RCR30212_f	74527.0239793745
RCR30213_f	109948.218856205
RCR30215_f	45008.6428689861
RCR30216_f	31874.0726774292
RCR30217_f	23098.5556889063
RCR30218_f	46157.4294558333
RCR30219_f	20811.9238394926
RCR30221_f	92585.4842533208
RCR30223_f	160976.996268334
RCR30224_f	95700.4559761244
RCR30225_f	24792.7684076426
RCR30226_f	91532.769031257
RCR30228_f	48777.8544042893
