organism_id	rxn_id	rxn_irreversible	rno_acetaminophen_t1_d1_ctl	rno_acetaminophen_t1_d1_trt
rno	RCR10001	RCR10001_f	1.08	0.929
rno	RCR10001	RCR10001_r	1.08	0.929
rno	RCR10002	RCR10002_f	0.681	1.47
rno	RCR10002	RCR10002_r	0.681	1.47
rno	RCR10003	RCR10003_f	1	1
rno	RCR10003	RCR10003_r	1	1
rno	RCR10004	RCR10004_f	1.08	0.929
rno	RCR10004	RCR10004_r	1.08	0.929
rno	RCR10005	RCR10005_f	2.62	1.53
rno	RCR10005	RCR10005_r	2.62	1.53
rno	RCR10006	RCR10006_f	2.29	1.74
rno	RCR10006	RCR10006_r	2.29	1.74
rno	RCR10007	RCR10007_f	2	2
rno	RCR10007	RCR10007_r	2	2
rno	RCR10008	RCR10008_f	0.843	1.19
rno	RCR10008	RCR10008_r	0.843	1.19
rno	RCR10009	RCR10009_f	5.07	0.197
rno	RCR10009	RCR10009_r	5.07	0.197
rno	RCR10010	RCR10010_f	0.92	1.09
rno	RCR10010	RCR10010_r	0.92	1.09
rno	RCR10011	RCR10011_f	2	2
rno	RCR10011	RCR10011_r	2	2
rno	RCR10012	RCR10012_f	2.05	1.95
rno	RCR10012	RCR10012_r	2.05	1.95
rno	RCR10013	RCR10013_f	2.45	1.63
rno	RCR10013	RCR10013_r	2.45	1.63
rno	RCR10014	RCR10014_f	2.49	1.61
rno	RCR10014	RCR10014_r	2.49	1.61
rno	RCR10015	RCR10015_f	1.13	0.887
rno	RCR10015	RCR10015_r	1.13	0.887
rno	RCR10016	RCR10016_f	1.41	2.84
rno	RCR10016	RCR10016_r	1.41	2.84
rno	RCR10017	RCR10017_f	1.92	2.08
rno	RCR10017	RCR10017_r	1.92	2.08
rno	RCR10018	RCR10018_f	1.07	0.934
rno	RCR10018	RCR10018_r	1.07	0.934
rno	RCR10019	RCR10019_f	1.03	0.974
rno	RCR10019	RCR10019_r	1.03	0.974
rno	RCR10020	RCR10020_f	2.08	1.93
rno	RCR10020	RCR10020_r	2.08	1.93
rno	RCR10021	RCR10021_f	0.933	1.07
rno	RCR10021	RCR10021_r	0.933	1.07
rno	RCR10022	RCR10022_f	1.44	0.693
rno	RCR10022	RCR10022_r	1.44	0.693
rno	RCR10023	RCR10023_f	3.95	1.01
rno	RCR10023	RCR10023_r	3.95	1.01
rno	RCR10024	RCR10024_f	0.51	1.96
rno	RCR10024	RCR10024_r	0.51	1.96
rno	RCR10025	RCR10025_f	1.44	0.693
rno	RCR10025	RCR10025_r	1.44	0.693
rno	RCR10026	RCR10026_f	3.95	1.01
rno	RCR10026	RCR10026_r	3.95	1.01
rno	RCR10027	RCR10027_f	1.07	0.934
rno	RCR10027	RCR10027_r	1.07	0.934
rno	RCR10028	RCR10028_f	0.993	1.01
rno	RCR10028	RCR10028_r	0.993	1.01
rno	RCR10029	RCR10029_f	2.89	1.39
rno	RCR10029	RCR10029_r	2.89	1.39
rno	RCR10030	RCR10030_f	2.89	1.39
rno	RCR10030	RCR10030_r	2.89	1.39
rno	RCR10031	RCR10031_f	2.89	1.39
rno	RCR10031	RCR10031_r	2.89	1.39
rno	RCR10032	RCR10032_f	2.89	1.39
rno	RCR10032	RCR10032_r	2.89	1.39
rno	RCR10033	RCR10033_f	2.89	1.39
rno	RCR10033	RCR10033_r	2.89	1.39
rno	RCR10034	RCR10034_f	2.89	1.39
rno	RCR10034	RCR10034_r	2.89	1.39
rno	RCR10035	RCR10035_f	1.44	0.693
rno	RCR10035	RCR10035_r	1.44	0.693
rno	RCR10036	RCR10036_f	2.89	1.39
rno	RCR10036	RCR10036_r	2.89	1.39
rno	RCR10037	RCR10037_f	1.44	0.693
rno	RCR10037	RCR10037_r	1.44	0.693
rno	RCR10038	RCR10038_f	2.89	1.39
rno	RCR10038	RCR10038_r	2.89	1.39
rno	RCR10039	RCR10039_f	2.89	1.39
rno	RCR10039	RCR10039_r	2.89	1.39
rno	RCR10040	RCR10040_f	2.89	1.39
rno	RCR10040	RCR10040_r	2.89	1.39
rno	RCR10041	RCR10041_f	2.89	1.39
rno	RCR10041	RCR10041_r	2.89	1.39
rno	RCR10042	RCR10042_f	2.89	1.39
rno	RCR10042	RCR10042_r	2.89	1.39
rno	RCR10043	RCR10043_f	2.89	1.39
rno	RCR10043	RCR10043_r	2.89	1.39
rno	RCR10044	RCR10044_f	1.44	0.693
rno	RCR10044	RCR10044_r	1.44	0.693
rno	RCR10045	RCR10045_f	1.44	0.693
rno	RCR10045	RCR10045_r	1.44	0.693
rno	RCR10046	RCR10046_f	2.89	1.39
rno	RCR10046	RCR10046_r	2.89	1.39
rno	RCR10047	RCR10047_f	2.89	1.39
rno	RCR10047	RCR10047_r	2.89	1.39
rno	RCR10048	RCR10048_f	2.89	1.39
rno	RCR10048	RCR10048_r	2.89	1.39
rno	RCR10049	RCR10049_f	2.89	1.39
rno	RCR10049	RCR10049_r	2.89	1.39
rno	RCR10050	RCR10050_f	1.44	0.693
rno	RCR10050	RCR10050_r	1.44	0.693
rno	RCR10051	RCR10051_f	1.44	0.693
rno	RCR10051	RCR10051_r	1.44	0.693
rno	RCR10052	RCR10052_f	1.44	0.693
rno	RCR10052	RCR10052_r	1.44	0.693
rno	RCR10053	RCR10053_f	2.89	1.39
rno	RCR10053	RCR10053_r	2.89	1.39
rno	RCR10054	RCR10054_f	2.89	1.39
rno	RCR10054	RCR10054_r	2.89	1.39
rno	RCR10055	RCR10055_f	2.89	1.39
rno	RCR10055	RCR10055_r	2.89	1.39
rno	RCR10056	RCR10056_f	3.95	1.01
rno	RCR10056	RCR10056_r	3.95	1.01
rno	RCR10057	RCR10057_f	3.95	1.01
