X	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	ens_gene	ext_gene	organism_id	drug_id	dose_id	time_id	efit_id	efit_root	feature_id	ensembl_transcript_id	fdr	logfc	ave	ensembl_gene_id	ensembl_gene_type	ensembl_transcript_type	ensembl_gene_status	ensembl_transcript_status	ensembl_chromosome	ensembl_description	ensembl_gene_name	ensembl_transcript_name	gene_id	significant	direction	model_data_count	model_feature_count	model_gene_count	n_up	n_dn	n_significant	pct_significant	efit_ok
5342	ENSRNOT00000033719	0.105683246457256	0.301918224578619	0.171547318418434	0.106030579022649	4.97466626670448	0.0305574403609664	0.00703266088781877	0.0172993159399151	0.0379372738636941	0.0379372738636941	ENSRNOG00000022540	Trex1	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000033719	ENSRNOT00000033719	0.301918224578619	0.247490465560075	4.97466626670448	ENSRNOG00000022540	protein_coding	protein_coding	KNOWN	KNOWN	8	three prime repair exonuclease 1 [Source:RGD Symbol;Acc:1311998]	Trex1	Trex1-201	100049583	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
4403	ENSRNOT00000022900	0.0622652356711884	0.215856588072909	-0.137768368563741	0.0738941222472652	8.31143362037388	0.0202437881637099	0.000238220795304206	0.0160286598438953	0.0216031444154709	0.0216031444154709	ENSRNOG00000016936	Nadk	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000022900	ENSRNOT00000022900	0.215856588072909	-0.198757742118272	8.31143362037388	ENSRNOG00000016936	protein_coding	protein_coding	KNOWN	KNOWN	5	NAD kinase [Source:RGD Symbol;Acc:1642420]	Nadk	Nadk-201	100125370	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
1664	ENSRNOT00000016891	0.00180394026175659	0.0165377442375091	-0.3986382278442	0.127738151645976	6.15042079240093	0.103293581893811	0.00205334775989331	0.0632147937838282	0.022466277362958	0.0632147937838282	ENSRNOG00000046357	Adh4	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000016891	ENSRNOT00000016891	0.0165377442375091	-0.575113394419592	6.15042079240093	ENSRNOG00000046357	protein_coding	protein_coding	KNOWN	KNOWN	2	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:RGD Symbol;Acc:71028]	Adh4	Adh4-201	100145871	TRUE	-1	1701	1672	1701	251	261	512	30.0999412110523	TRUE
11209	ENSRNOT00000063952	0.569795099322816	0.775850395249614	-0.0482347053555202	0.0848674689326365	5.70636990541836	0.0133979584173694	0.00289182058320269	0.0107983957780548	0.0259181285489254	0.0259181285489254	ENSRNOG00000024801	Slc35a2	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000063952	ENSRNOT00000063952	0.775850395249614	-0.0695879702151494	5.70636990541836	ENSRNOG00000024801	protein_coding	protein_coding	KNOWN	KNOWN	X	solute carrier family 35 (UDP-galactose transporter), member A2 [Source:RGD Symbol;Acc:2293497]	Slc35a2	Slc35a2-201	100158233	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
352	ENSRNOT00000037303	1.09235166720103e-07	4.72341525443529e-06	-0.448722043850541	0.084494756112786	5.68389194446463	0.0707049038331768	0.00239300454110079	0.0158332573837581	0.0261644507011359	0.0261644507011359	ENSRNOG00000047933	Phykpl	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000037303	ENSRNOT00000037303	4.72341525443529e-06	-0.647369067400736	5.68389194446463	ENSRNOG00000047933	protein_coding	protein_coding	KNOWN	KNOWN	10	5-phosphohydroxy-L-lysine phospho-lyase [Source:RGD Symbol;Acc:2293818]	Phykpl	Phykpl-201	100169747	TRUE	-1	1701	1672	1701	251	261	512	30.0999412110523	TRUE
5604	ENSRNOT00000043825	0.121094205358629	0.329832610741276	0.113568716552589	0.0732608217372041	6.84178615463847	0.0133234301965386	0.00101272089140165	0.00957728192506044	0.0204558711150399	0.0204558711150399	ENSRNOG00000033378	Rnf123	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000043825	ENSRNOT00000043825	0.329832610741276	0.163845024170544	6.84178615463847	ENSRNOG00000033378	protein_coding	protein_coding	KNOWN	KNOWN	8	ring finger protein 123 [Source:RGD Symbol;Acc:2301394]	Rnf123	Rnf123-201	100190936	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
6659	ENSRNOT00000054924	0.188151200814067	0.431459345477426	-0.23232805795558	0.176531947996051	5.78520271819254	0.130737527413157	0.00334861499086182	0.12130549966226	0.0251154329541143	0.12130549966226	ENSRNOG00000036667	Hexdc	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000054924	ENSRNOT00000054924	0.431459345477426	-0.335178537071879	5.78520271819254	ENSRNOG00000036667	protein_coding	protein_coding	KNOWN	KNOWN	10	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing [Source:RGD Symbol;Acc:2302323]	Hexdc	Hexdc-201	100216475	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
11272	ENSRNOT00000044775	0.576932030076715	0.781361357609397	-0.194162181208886	0.348040952402856	2.12339317371158	0.182729880155475	0.198683638150979	-0.0136727530163395	0.28584638004697	0.28584638004697	ENSRNOG00000046958	Abo	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000044775	ENSRNOT00000044775	0.781361357609397	-0.280116815958244	2.12339317371158	ENSRNOG00000046958	protein_coding	protein_coding	KNOWN	KNOWN	3	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) [Source:RGD Symbol;Acc:2307241]	Abo	Abo-201	100301568	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
7314	ENSRNOT00000022359	0.233760314347304	0.487847612550895	-0.30975348509668	0.260137865402048	2.5889352188443	0.145436129394632	0.0879882418479961	0.0404226906378132	0.18269859421574	0.18269859421574	ENSRNOG00000016643	Lpcat2	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000022359	ENSRNOT00000022359	0.487847612550895	-0.446879816847054	2.5889352188443	ENSRNOG00000016643	protein_coding	protein_coding	KNOWN	KNOWN	19	lysophosphatidylcholine acyltransferase 2 [Source:RGD Symbol;Acc:2325051]	Lpcat2	Lpcat2-201	100359680	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
10586	ENSRNOT00000004206	0.506499428783463	0.730257378222902	0.0668971079092443	0.100703420498905	7.90216952034015	0.039053794039768	0.000366991150236678	0.0401977244504804	0.0210036897053073	0.0401977244504804	ENSRNOG00000003150	Mpc2	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000004206	ENSRNOT00000004206	0.730257378222902	0.0965121258304806	7.90216952034015	ENSRNOG00000003150	protein_coding	protein_coding	KNOWN	KNOWN	13	mitochondrial pyruvate carrier 2 [Source:RGD Symbol;Acc:1563422]	Mpc2	Mpc2-201	100359982	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
13749	ENSRNOT00000004853	0.839183042194864	0.931584724077266	-0.0316035878763141	0.155729819729793	3.8456733330701	0.0649838488894975	0.0238219307164901	0.0455182540174984	0.0731851762958054	0.0731851762958054	ENSRNOG00000003650	Nt5c	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000004853	ENSRNOT00000004853	0.931584724077266	-0.045594339503457	3.8456733330701	ENSRNOG00000003650	protein_coding	protein_coding	KNOWN	KNOWN	10	5', 3'-nucleotidase, cytosolic [Source:RGD Symbol;Acc:2321875]	Nt5c	Nt5c-201	100360582	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
5373	ENSRNOT00000056364	0.107360715018796	0.304997944173999	-0.268617802317767	0.166825724321618	3.6432115307602	0.0692309529392329	0.0281180158692549	0.0254421412164869	0.0832052733124756	0.0832052733124756	ENSRNOG00000020148	Il4i1	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000056364	ENSRNOT00000056364	0.304997944173999	-0.387533571298334	3.6432115307602	ENSRNOG00000020148	protein_coding	protein_coding	KNOWN	KNOWN	1	interleukin 4 induced 1 [Source:RGD Symbol;Acc:1304831]	Il4i1	Il4i1-202	100360621	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
9690	ENSRNOT00000032056	0.424444132278535	0.668598063477767	-0.0581506238004651	0.0728034071515519	7.34068260110584	0.0198539524793297	0.00067706122113741	0.0196288892786061	0.0205242831503612	0.0205242831503612	ENSRNOG00000024112	Dgkq	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000032056	ENSRNOT00000032056	0.668598063477767	-0.0838936165815306	7.34068260110584	ENSRNOG00000024112	protein_coding	protein_coding	KNOWN	KNOWN	14	diacylglycerol kinase, theta [Source:RGD Symbol;Acc:2320722]	Dgkq	Dgkq-201	100361138	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
11777	ENSRNOT00000001990	0.630537822400276	0.817022862573669	0.132324466927511	0.275120002561579	3.60544995356836	0.287249062901444	0.0412958540658139	0.261468209172119	0.0852708989346964	0.261468209172119	ENSRNOG00000001466	Cyp2c24	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000001990	ENSRNOT00000001990	0.817022862573669	0.190903852224596	3.60544995356836	ENSRNOG00000001466	protein_coding	protein_coding	KNOWN	KNOWN	1	cytochrome P450, family 2, subfamily c, polypeptide 55-like [Source:RGD Symbol;Acc:2320073]	LOC100361492	LOC100361492-201	100361492	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
8064	ENSRNOT00000025317	0.289166307339511	0.547220549512238	-0.150561027440033	0.142045099182159	4.0914283282521	0.0344707103606741	0.0171271736091778	0.0133289809247449	0.0635800671974998	0.0635800671974998	ENSRNOG00000018729	Rad9a	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000025317	ENSRNOT00000025317	0.547220549512238	-0.217213647638883	4.0914283282521	ENSRNOG00000018729	protein_coding	protein_coding	KNOWN	KNOWN	1	RAD9 checkpoint clamp component A [Source:RGD Symbol;Acc:2319938]	Rad9a	Rad9a-201	100361529	FALSE	0	1701	1672	1701	251	261	512	30.0999412110523	TRUE
